# Number of bins used: 1
# Number of cases packed: 51
# Bin dimensions (L * W * H): 1500 1500 1500 
# Objective value: 1548.882

  id    bin-location    orientation     x     y    z    x'    y'    z'    weight
----  --------------  -------------  ----  ----  ---  ----  ----  ----  --------
   0               1              6    30   600    0   181   207   114        20
   0               1              6   517     0    0   181   207   114        20
   0               1              6     0     0  101   181   207   114        20
   0               1              4     0   406  114   207   181   114        20
   0               1              6     0   270    0   181   207   114        20
   0               1              6    93  1202    0   181   207   114        20
   0               1              6   772    63    0   181   207   114        20
   0               1              6   769   270    0   181   207   114        20
   0               1              4   274  1202    0   207   181   114        20
   1               1              1   593   587    0   158   220   101        20
   1               1              1     0   367  228   158   220   101        20
   1               1              3     0     0    0   220   158   101        20
   1               1              1  1342   270    0   158   220   101        20
   1               1              3   517   429    0   220   158   101        20
   1               1              1   359   291    0   158   220   101        20
   2               1              1   723   317  114   206   270   199        20
   2               1              1   517   317  114   206   270   199        20
   2               1              1   517     0  114   206   270   199        20
   2               1              1  1294  1230    0   206   270   199        20
   2               1              1  1088  1230    0   206   270   199        20
   2               1              1  1294     0    0   206   270   199        20
   2               1              1  1294   932  192   206   270   199        20
   3               1              1   289  1202  114   192   280   189        50
   4               1              2   772  1308  189   213   192   291        20
   4               1              1   556   911  272   213   291   192        20
   4               1              1   304     0    0   213   291   192        20
   4               1              3   481  1287  139   291   213   192        20
   4               1              1  1287   795    0   213   291   192        20
   4               1              1  1081   294  227   213   291   192        20
   4               1              3   220     0  192   291   213   192        20
   4               1              3   158  1287  303   291   213   192        20
   5               1              1     0   807    0   211   297   133        20
   5               1              3   220   300  101   297   211   133        20
   5               1              4   220   511    0   297   133   211        20
   5               1              1   751   588    0   211   297   133        20
   5               1              1     0  1202  114   211   297   133        20
   5               1              1   561   905  139   211   297   133        20
   6               1              1   723     0  114   227   298   294        50
   6               1              4   950     0  189   298   294   227        50
   6               1              4   989   587    0   298   294   227        50
   6               1              4   989   881    0   298   294   227        50
   6               1              6   517   587  133   294   298   227        50
   6               1              6  1206  1202  199   294   298   227        50
   7               1              1     0     0  215   220   318   199        50
   8               1              3   962   370    0   325   217   189        20
   8               1              3   969     0    0   325   217   189        20
   8               1              1   871  1175    0   217   325   189        20
   9               1              6   211   677    0   139   525   390        20
   9               1              1   481   885    0   390   525   139        20
   9               1              6  1361   270  101   139   525   390        20
   9               1              6     0   587  133   139   525   390        20
